question,answer
"Apa ketentuan surat sehat, surat keterangan dokter dan mcu?","Terkait persyaratan surat keterangan dokter dan MCU, dokumen harus dikeluarkan oleh Rumah Sakit/Klinik yang ter-approve DJPL.

Berikut link daftar RS/Klinik yang dapat digunakan:
https://bkkp.dephub.go.id/index.php/pages/rsik

Selain itu, dokter pemeriksa juga harus dokter yang ter-approve DJPL. Daftar dokter yang diakui dapat dicek pada link berikut:
https://bkkp.dephub.go.id/index.php/pages/dokter

Mohon dipastikan juga surat yang diunggah masih berlaku (tidak expired) dan mencantumkan keterangan tidak buta warna.
"
Apa saja persyaratan daftar diklat able deck ,"persyaratan daftar diklat able deck:

Persyaratan administrasi Diklat meliputi: *
1. Akta Lahir/Surat Kenal Lahir *
2. KTP atau identitas yang masih berlaku *
3. pas foto terbaru ukuran 3x4 dengan background sesuai jurusan (biru untuk Nautika, merah untuk Teknika/Diklat Fungsional, dan hitam putih untuk Diktram) format JPG/JPEG/PNG *
4. Sertifikat AFF *
5. Sertifikat BST MSC.560 *
6. Sertifikat Kesehatan/MCU yang masih berlaku dari rumah sakit, klinik, atau dokter BP2TL Jakarta *
7. Sertifikat PSCRB *
8. Sertifikat Rating Deck minimal 1 tahun *
9. Sertifikat SAT *
10. Sertifikat SDSD *
11. Surat Masa Layar dari Syahbandar + PNBP minimal 1 tahun (diterbitkan maksimal 6 bulan terakhir)*
12. Surat Pernyataan Peserta Diklat. *"
,
Apa saja persyaratan daftar diklat able engine,"persyaratan daftar diklat able engine:

Persyaratan administrasi Diklat meliputi : *
1. Akta Lahir/Surat Kenal Lahir *
2. KTP/Identitas yang masih berlaku *
3. Kartu Keluarga (KK) *
4. pas foto terbaru ukuran 3x4 dengan background sesuai jurusan (biru=Nautika merah=Teknika/Diklat Fungsional, hitam putih=Diktram)
format JPG/JPEG/PNG *
5. Sertifikat AFF *
6. Sertifikat BST MSC.560 *
7. Sertifikat Kesehatan/MCU yang masih berlaku *
8. Sertifikat PSCRB *
9. Sertifikat Rating Engine minimal 1 tahun *
10. Sertifikat SAT*
11. Sertifikat SDSD *
12. Surat Masa Layar dari Syahbandar + PNBP minimal 1 tahun (diterbitkan maksimal 6 bulan terakhir) *
13.Surat Pernyataan Peserta Diklat *
"
,
,
Apa saja persyaratan daftar diklat AFF ,"persyaratan daftar diklat AFF : 
1. Akta Lahir/Surat Kenal Lahir *
2. KTP atau identitas yang masih berlaku *
3. Kartu Keluarga (KK) *
4. pas foto terbaru ukuran 3x4 dengan background sesuai jurusan (biru=Nautika, merah=Teknika/Diklat Fungsional hitam putih=Diktram) format JPG/JPEG/PNG *
5. Sertifikat BST MSC.560 *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yang masih berlaku dari rumah sakit/klinik atau dokter BP2TL Jakarta *
7. serta Surat Pernyataan Peserta Diklat. *
"
,
,
Apa saja persyaratan daftar diklat ACT," persyaratan daftar diklat ACT:
1. Akta Lahir/Surat Kenal Lahir, *
2. Kartu Tanda Penduduk (KTP), *
3. minimal sertifikat ahli Nautika (ANT-V) / Ahli Teknika (ATT-V) atau Perwira Dek Kapal Negara III / Perwira Mesin Kapal Negara III / Pelaut Rating Dinas Jaga Dek/Mesin/Teknik Listrik Kapal, *
4. pas foto terbaru ukuran 3x4 dengan background sesuai jurusan (biru=Nautika, merah=Teknika/Diklat Fungsional, hitam putih=Diktram) format JPG/JPEG/PNG, *
5. Sertifikat BOCT, *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yang masih berlaku dari rumah sakit/klinik atau dokter BP2TL Jakarta, *
7. Surat Masa Layar dari Syahbandar + PNBP minimal 3 bulan pada kapal tangki kimia (terbit maksimal 6 bulan terakhir), *
8. serta Surat Pernyataan Peserta Diklat. *
"
,
,
Apa saja persyaratan daftar diklat ALGT,"persyaratan daftar diklat ALGT:
1.  Akta Lahir/Surat Kenal Lahir *
 2. hasil Medical Check Up (MCU) yang masih berlaku dari rumah sakit pemerintah yang ditunjuk/di-approve Ditjen Hubla *
 KTP *
 3. minimal sertifikat keahlian (ANT-V/ATT-V atau Perwira Dek/Mesin Kapal Negara III atau Pelaut Rating Dinas Jaga Dek/Mesin/Teknik Listrik Kapal) *
 4. pas foto terbaru ukuran 3x4 dengan background sesuai jurusan (biru=Nautika, merah=Teknika/Diklat Fungsional, hitam putih=Diktram) format JPG/JPEG/PNG *
 5. Sertifikat BLGTCO *
 6. Surat Masa Layar dari Syahbandar + PNBP minimal 3 bulan pada kapal tangki gas cair (terbit maksimal 6 bulan terakhir) *
 7. serta Surat Pernyataan Peserta Diklat. *
"
,
,
Apa saja persyaratan daftar diklat AOT,"persyaratan daftar diklat AOT:
1. Akta Lahir/Surat Kenal Lahir, KTP, minimal sertifikat keahlian (ANT-V/ATT-V atau Perwira Dek/Mesin Kapal Negara III atau Pelaut Rating Dinas Jaga Dek/Mesin/Teknik Listrik Kapal) *
2. pas foto terbaru ukuran 3×4 dengan background sesuai jurusan (biru=Nautika, merah=Teknika/Diklat Fungsional, hitam putih=Diktram) format JPG/JPEG/PNG *
3. Sertifikat BOCT *
4. Sertifikat Kesehatan/Medical Check Up (MCU) yang masih berlaku dari rumah sakit/klinik atau dokter BP2TL Jakarta *
5. Surat Masa Layar dari Syahbandar + PNBP minimal 3 bulan pada kapal tangki minyak (terbit maksimal 6 bulan terakhir) *
6. serta Surat Pernyataan Peserta Diklat. *
"
,
,
Apa saja persyaratan daftar diklat Arpa Simulator," persyaratan daftar diklat Arpa Simulator:
1. Akta Lahir/Surat Kenal Lahir, *
2. KTP atau identitas yang masih berlaku, *
3. Kartu Keluarga (KK), *
4. pas foto terbaru ukuran 3×4 dengan background sesuai jurusan (biru=Nautika, merah=Teknika/Diklat Fungsional, hitam putih=Diktram) format JPG/JPEG/PNG, *
5. Sertifikat Kesehatan/Medical Check Up (MCU) yang masih berlaku dari rumah sakit/klinik atau dokter BP2TL Jakarta, *
6. Sertifikat minimal ANT-V atau Surat Keterangan (jika sertifikat masih dalam proses) / Surat Keterangan Turun Prala bagi Taruna Pasca Prala, *
7. Sertifikat Radar Simulator (RS), *
8. serta Surat Pernyataan Peserta Diklat. *
"
,
,
Apa saja persyaratan daftar diklat Auditor ISM Code,"persyaratan daftar diklat Auditor ISM Code:
1. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
2. Sertifikat Tanda Tamat Diklat Marine Inspector A *
3. Surat Keterangan Sehat dari Dokter Pemerintah dan Tidak Buta Warna *
4. Surat Keterangan telah mengikuti Pengukuhan Marine Inspector A *"
,
,
Apa saja persyaratan daftar diklat Auditor ISPS Code,"persyaratan daftar diklat Auditor ISPS Code:
1. Ijazah Minimal S1 atau Diploma 4 *
2. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
3. Surat Keterangan Sehat dari Dokter Pemerintah dan Tidak Buta Warna *
4. Surat Tanda Tamat Pendidikan dan Pelatihan ISPS Code dalam dan/atau luar negeri *"
Apa saja persyaratan daftar diklat BST Kerja sama ,"persyaratan daftar diklat BST Kerja sama :
1. Akte Lahir / Surat Kenal Lahir *
2. Scan Asli, Ijasah Minimal SLTP/sederajat *
3. Scan Asli, KTP / Identitas Lainnya yg berlaku *
4. Scan Asli, Kartu Keluarga (KK) *
5. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png, *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
7. Surat Pernyataan Bermaterai 10.000 menyatakan belum pernah memiliki sertifikat COP BST/BST-KLM terdiri atas (Nama, NIK, Tempat Tanggal Lahir, Alamat, No Telp Aktif, Menyatakan Bahwa belum pernah memiliki sertifikat keterampilan pelaut BST/BST-KLM), * 
8. dan Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat BST,"persyaratan daftar diklat BST:
1. Akte Lahir / Surat Kenal Lahir *
2. Scan Asli, Ijasah Minimal SLTP/sederajat *
3. Scan Asli, KTP / Identitas Lainnya yg berlaku *
4. Scan Asli, Kartu Keluarga (KK) *
5. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit , Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
7. Scan Asli,dan Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar diklat BST kapal layar motor," persyaratan daftar diklat BST kapal layar motor:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli, Ijasah Minimal SLTP/sederajat *
2. Scan Asli, KTP / Identitas Lainnya yg berlaku *
3. Scan Asli, Kartu Keluarga (KK) *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png, *
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
6. dan Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat BLGT,"persyaratan daftar diklat BLGT:

1. Akte Lahir / Surat Kenal Lahir *
2. Scan Asli, Kartu Tanda Penduduk (KTP) *
3. Scan Asli, Minimal Sertifikat Ahli Nautika (ANT-V) / Ahli Teknika (ATT-V) atau Perwira Dek Kapal Negara III/ Perwira Mesin Kapal Negara III atau Pelaut Rating Dinas Jaga Dek/Mesin/Teknik Listrik Kapal* 
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat AFF * 
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
7. dan Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat BOCT,"persyaratan daftar diklat BOCT:
1. Akte Lahir / Surat Kenal Lahir *
2. Scan Asli, Kartu Tanda Penduduk (KTP) *
3. Scan Asli, Minimal Sertifikat Ahli Nautika (ANT-V) / Ahli Teknika (ATT-V) atau Perwira Dek Kapal Negara III/ Perwira Mesin Kapal Negara III atau Pelaut Rating Dinas Jaga Dek/Mesin/Teknik Listrik Kapal*
4. Sertifikat AFF *
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
6. dan Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat BRM,"persyaratan daftar diklat BRM:

1. Akte Lahir / Surat Kenal Lahir *
2. Scan Asli, KTP / Identitas Lainnya yg berlaku *
3. Scan Asli, Kartu Keluarga (KK) *
4. Scan Asli, Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
6. Sertifikat Minimal ANT-V / Surat Keterangan (apabila sertifikat ANT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) *
7. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat CMHBT,"persyaratan daftar diklat CMHBT:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
4. Sertifikat BST MSC.560 - Scan Asli *
5. Sertifikat Crowd Management - Scan Asli *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
7. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat CMT,"persyaratan daftar diklat CMT:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
4. Sertifikat BST MSC.560 - Scan Asli *
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Upgrading, Updating & revalidasi GMDSS) Scan Asli
6. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat ECDIS,"persyaratan daftar diklat ECDIS:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat Arpa Simulator (AS) - Scan Asli *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
7. Sertifikat Minimal ANT-V / Surat Keterangan (apabila sertifikat ANT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) - Scan Asli *
8. Sertifikat Radar Simulator (RS) - Scan Asli *
9. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat ERM,"persyaratan daftar diklat ERM:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
6. Sertifikat minimal ATT-V / Surat Keterangan (apabila sertifikat ATT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) - Scan Asli *
7. Surat Pernyataan Peserta Diklat *
"
,
,
Apa saja persyaratan daftar diklat GMDSS,"persyaratan daftar diklat GMDSS:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat BST MSC.560 - Scan Asli *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
7. Sertifikat Minimal ANT-V / Surat Keterangan (apabila sertifikat ANT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) - Scan Asli *
8. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat MC," persyaratan daftar diklat MC:
1. Akte Lahir / Surat Kenal Lahir *
2. Scan Asli, KTP / Identitas Lainnya yg berlaku *
3. Scan Asli,Kartu Keluarga (KK) *
4. Scan Asli, Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
5. Scan Asli, Sertifikat Medical First Aid (MFA) *
6. Scan Asli, dan Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat MFA,"persyaratan daftar diklat MFA:

1. Akte Lahir / Surat Kenal Lahir *
2. Scan Asli, KTP / Identitas Lainnya yg berlaku *
3. Scan Asli, Kartu Keluarga (KK) *
4. Scan Asli, Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat BST MSC.560 *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta *
7. Scan Asli, dan Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat ORU,"persyaratan daftar diklat ORU:

1. Ijasah Minimal SLTA/sederajat - Scan Asli *
2. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
3. Surat Keterangan Sehat dari Dokter Pemerintah dan Tidak Buta Warna *"
,
,
"Apa saja persyaratan daftar diklat PS, HS, HIT"," persyaratan daftar diklat PS, HS, HIT:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. Kartu Tanda Penduduk (KTP) - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
4. Sertifikat BST MSC.560 - Scan Asli *
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
6. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat PSCRB,"persyaratan daftar diklat PSCRB:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat BST (khusus yg daftar diklat SCRB) - Scan Asli *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
7. Surat Masa Layar dari Syahbandar minimal 6 bulan + PNBP terhitung dari terbitnya sertifikat BST (khusus yg daftar diklat SCRB) - Scan Asli (Terbitan 6 Bulan Terakhir) *
8. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat RADAR SIMULATOR,"persyaratan daftar diklat RADAR SIMULATOR:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
6. Sertifikat Minimal ANT-V / Surat Keterangan (apabila sertifikat ANT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) - Scan Asli *
7. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat Rating Deck," persyaratan daftar diklat Rating Deck:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. BUKU PELAUT - Scan asli *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Kartu Keluarga (KK) - Scan Asli
5. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
6. Sertifikat AFF - Scan Asli
7. Sertifikat BST MSC.560 - Scan Asli *
8. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
9. Sertifikat SAT - Scan Asli
10. Sertifikat SDSD - Scan Asli
11. Surat Masa Layar dari Syahbandar minimal 6 (enam) bulan - Scan Asli *
12. Surat Pernyataan Peserta Diklat *
"
,
,
Apa saja persyaratan daftar diklat Rating Engine," persyaratan daftar diklat Rating Engine:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. BUKU PELAUT - Scan asli *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Kartu Keluarga (KK) - Scan Asli
5. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
6. Sertifikat AFF - Scan Asli
7. Sertifikat BST MSC.560 - Scan Asli *
8. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
9. Sertifikat SAT - Scan Asli
10. Sertifikat SDSD - Scan Asli
11. Surat Masa Layar dari Syahbandar minimal 6 (enam) bulan - Scan Asli *
12. Surat Pernyataan Peserta Diklat *
"
,
,
Apa saja persyaratan daftar diklat sdsd,"persyaratan daftar diklat sdsd:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
4. Sertifikat BST MSC.560 - Scan Asli *
5. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
6. Surat Pernyataan Peserta Diklat *
"
,
,
Apa saja persyaratan daftar diklat sat,"persyaratan daftar diklat sat:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat BST MSC.560 - Scan Asli *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
7. Surat Pernyataan Peserta Diklat *"
,
,
Apa saja persyaratan daftar diklat sso," persyaratan daftar diklat sso:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png*
5. Sertifikat BST MSC.560 - Scan Asli *
6. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Surat Keterangan Sehat Dari Rumah sakit, Klinik/Surat Tes Kesehatan dari dokter BP2TL Jakarta yg masih berlaku/dinyatakan sehat oleh tim dokter BP2TL Jakarta - Scan Asli
7. Sertifikat Minimal ANT/ATT V / Surat Keterangan (apabila sertifikat ANT/ATT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) - Scan Asli *
8. Surat Pernyataan Peserta Diklat *
"
,
,
Apa saja persyaratan daftar diklat scrb,"persyaratan daftar diklat scrb:
1. Usia tidak kurang dari 17 tahun
2. Berijasah minimal sekolah lanjutan tingkat pertama (SLTP)/madrasah tsanawiyah
3. Sertifikat Keterampilan BST
4. Memiliki masa layar yang diakui tidak kurang dari 6 bulan
5. Sertifikat Kesehatan pelaut dari rumah sakit atau lembaga kesehatan lainnya yang mendapat pengakuan dari dokter yang telah ditunjuk DJPL
6. Surat Kenal Lahir/Akta Kelahiran
7. KTP tanda bukti diri lainnya yang sah"
,
,
Apa saja persyaratan daftar towing master,"persyaratan daftar towing master:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. Kartu Tanda Penduduk (KTP) - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png
4. Sertifikat Kesehatan Pelaut (MCU) dari Rumah Sakit atau Lembaga Kesehatan yang mendapat pengakuan dari dokter yang ditunjuk Ditjen Hubla - Scan Asli
5. Sertifikat Minimal ANT-V / Surat Keterangan (apabila sertifikat ANT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) - Scan Asli *
6. Surat Pernyataan Peserta Diklat *"
,
,
