question,answer
" ka, syarat perpanjang endorse ANT 3 ops apa aja ya ka ?","
⚓ PERSYARATAN PERPANJANGAN ENDORS ⚓
1. Wajib keluaran kampus BP2TL JAKARTA
2. KTP
3. AKTE 
4. BUKU PELAUT 
5. PASS FOTO
6. PRINT OUT ONLINE COE
7. IJAZAH DAN ENDORS 
8. SPPK 
9. Surat Pernyataan Peserta 

Sistem pendaftaran di kampus kami melalui laman diklat.bp2tl.ac.id untuk file silahkan siapkan dalam bentuk PDF dengan ukuran dibawah 500 kb
Terima kasih ⚓🤩"
" pak
Untuk perpanjang endors ijazah persyaratan nya apa aja pak
Bisa online kah untuk pengurusan nya?","⚓ PERSYARATAN PERPANJANGAN ENDORS ⚓
1. Wajib keluaran kampus BP2TL JAKARTA
2. KTP
3. AKTE 
4. BUKU PELAUT 
5. PASS FOTO
6. PRINT OUT ONLINE COE
7. IJAZAH DAN ENDORS 
8. SPPK 
9. Surat Pernyataan Peserta 

Sistem pendaftaran di kampus kami melalui laman diklat.bp2tl.ac.id untuk file silahkan siapkan dalam bentuk PDF dengan ukuran dibawah 500 kb
Terima kasih ⚓🤩"
"Slmt pagi
Mau tanya Bu/pak
Untuk pembukaan sertifikat sat AFF mefa sdsd boct
Tnggl brp ya Bu/pak","untuk jadwal diklat silakan cek secara berkala di website 👉 diklat.bp2tl.ac.id, apabila belum tersedia atau masih kosong berarti jadwal belum dibuka, update juga diinformasikan melalui sosial media resmi BP2TL, dan untuk informasi lebih lanjut dapat menghubungi admin di +62 811-1707-1205 🙏"
" bapak/ibu
Saya mau tanya untuk pengambilan sertifikat di bp2tl masih online apa offline pak // Saya mau updating ANT kak. .online apa offline  soalnya saya lagi di luar kota kak","  Untuk pengambilan sertifikat di BP2TL menyesuaikan dengan jenis diklat yang diikuti. Ada yang pengambilannya dilakukan secara online, ada juga yang offline. Kakanya mau ambil diklat apa ya? // Untuk updating hybrid ya kak"
" kak saya mau tanya perihal diklat, kan adik saya mendaftar di BST nah sudah payment juga dan sudah bisa cetak kartu peserta, namun di bagian daftar tes kesehatan itu belum ada keterangan nya kakk. Apakah perlu pemeriksaan ke klinik di BP2TL nya kakk? // tapi kak tadi siang adik saya udah ke BP2TL dan katanya sudah tidak perlu tes kesehatan lagi kak, jadi info yang valid nya bagaimana ya kak?🙏 // Informasi // Baik kak terimakasih banyak",  Jika sudah muncul kartu peserta berarti kaka sudah lolos tes kesehatannya ya kak
" kak
mau tanya kak kok validasi dokumen lama sekali ya kak soalnya saya ngejar biar bisa ikut diklat awal bulan depan // Nama : Saeful Manaf
Nomor Psserta : 2702961741
Nama Diklat : Updating ANT III","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
"Siang
Untuk verifikasi email terkait nomor pendataran butuh berapa lama y kak ?? // Sdh kak , sdg proses pengiriman data","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
"Sore Bu 
Nama:Iping Toding Komba
Pasis : ATT 3,ANGK 13 GELOMBANG 2 2025
ijin lupa no peserta di karenakan hp rusak."," berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor berikut ini ya
 0811-1707-1205"
", ijin mau tanya tentang BST Pembaruan MSC 560, apakah sudah ada di bp2tl? // Baik terimakasih informasinya🙏🏻", untuk BST Pembaruan MSC 560 sudah ada di bp2tl
"Siang, saya ingin tanya terkait Ratings Forming Navigatian Watch apa tersedia detailnya? Terima kasih //Jadwal yang tersedia untuk bulan ini dan berikutnya ada kah min? ","Untuk Rating Forming Navigational Watch, tersedia ya kak. Berikut detailnya:

Persyaratan:

1. Akte Lahir / Surat Kenal Lahir
2. Buku Pelaut *
3. KTP / Identitas yang masih berlaku *
4. Kartu Keluarga (KK)
5. Pas foto terbaru ukuran 3x4 (background sesuai jurusan)
6. Sertifikat AFF
7. Sertifikat BST MSC.560 *
8. Sertifikat Kesehatan / MCU yang masih berlaku
9. Sertifikat SAT
10. Sertifikat SDSD
11. Surat Masa Layar dari Syahbandar minimal 6 bulan *
12. Surat Pernyataan Peserta Diklat *

Biaya: Rp 1.771.000

Jadwal:

Pendaftaran: 16-12-2025 s/d 03-05-2026 | Pelaksanaan: 04-05-2026 s/d 22-05-2026
Pendaftaran: 16-12-2025 s/d 01-06-2026 | Pelaksanaan: 02-06-2026 s/d 19-06-2026
Pendaftaran: 16-12-2025 s/d 05-07-2026 | Pelaksanaan: 06-07-2026 s/d 22-07-2026
Pendaftaran: 16-12-2025 s/d 02-08-2026 | Pelaksanaan: 03-08-2026 s/d 20-08-2026
Pendaftaran: 16-12-2025 s/d 06-09-2026 | Pelaksanaan: 07-09-2026 s/d 23-09-2026
Pendaftaran: 16-12-2025 s/d 04-10-2026 | Pelaksanaan: 05-10-2026 s/d 21-10-2026
Pendaftaran: 16-12-2025 s/d 01-11-2026 | Pelaksanaan: 02-11-2026 s/d 18-11-2026
Pendaftaran: 16-12-2025 s/d 06-12-2026 | Pelaksanaan: 07-12-2026 s/d 23-12-2026

Silakan dipilih jadwal yang sesuai ya kak 🙏😊"
"Ibukk/ bapkk 
Saya darii Ananda satria pandia baruu pendaftaran surat bstt, tapi belumm masuk grupp,  di keterangan pendaftaran zoom di mulai tgl 1 September 2025 besokk, tapi belum ada masukk grupp ibukk/ bapakk . Apa gak dari grupp yaaa
Mohon di balass yaa bapakk/ibukk
Takut ke tinggalan soal nyaa","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"
Mohon info utk klanjutan diklat Updating ATT-IV periode 1 - 4 september
Sya sdah dftr dan blm ada tindak lanjut nya","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" bapak/ibu admin BP2TL. Izin bertanya bu, untuk pembelajaran pemutakhiran ANT III periode 1 september kapan dimasukan ke grup ya? Mohon infonya. Terima kasih","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" pak
saya mau bertanya pak
Saya ada rencana untuk mendaftar diklat Sertifikat Imdg Code dan Ecdis, apakah diklat tersebut pembelajaran nya full online pak? Dan berapa biaya nya // Bukan kak, baik kalo bgtu
Jika untuk bst pembaruan itu di bp2tl sdh ada atau belum pak","  kak, untuk Ecdis blended kak
sbelumnya kaka ASN atau bukan ya kak, karna untuk IMDG di BP2TL khusus untuk ASN kak //   untuk BST Pembaruan  sudah ada di bp2tl yaa"
"Siang ka
Mau nanya, hari ini kan sudah selesai pelatihan SAT nah besok bagian SDSD info dari dosennya, itu saya ikut juga ka atau cukup hari ini saja ?",Berkaitan dengan hal tersebut silahkan hubungi pihak penyelenggaranya langsung yang ada di group ya kak
"Assalamualaikum 
Mohon info untuk diklat pemutakhiran ANT 3 management tgl 1-4 .belum ada pembelajaran online ya pak?
Dan belum di bentuk grub di WhatsApp kah pak?","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"pagi kak, ini diklatnya gimana kak? gak ada info lebih lanjut dari kemaren ? (Mengirimkan Gambar)","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Siang pak,,saya sofyan daftar updating ANT III Management tapi belum masuk grup pak?// Sudah masuk grup pak,,makasih🙏","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Pagi admin bp2tl
Valodator kesehatan kok ribet amat sih
Kita sudah MCU menunggu hasilnya.. Bukti hasil kok masih di tolak juga
Apa maunya valodator itu
Ribet amat kesehatan nya
Kami pake kesehatan dr klinik kamu tolak .. Surat keterangan dr kesehatan di approve djpl kau tolak juga dasar menyusahkan kami saja
Saya belain dr kapal jauh2 minta ijin ke klinik kau tolak juga
Saya sumpahin bp2tl gak akan ada lagi peserta diklat nya
Valodator kesehatan BP2TL kamu yang buta warna kamu menyusahkan kami pelaut
Surat keterangan kesehatan kamu tolak dasar kamu
Akan saya viralkan ke medsos agar tidak ada yang daftar KE BP2TL
Saya sumpahin BP2TL sepi kedepan gak akan ada peserta diklat lagi","Terkait persyaratan surat keterangan dokter dan MCU, dokumen harus dikeluarkan oleh Rumah Sakit/Klinik yang ter-approve DJPL ya kak.

Berikut link daftar RS/Klinik yang dapat digunakan:
https://bkkp.dephub.go.id/index.php/pages/rsik

Selain itu, dokter pemeriksa juga harus dokter yang ter-approve DJPL. Daftar dokter yang diakui dapat dicek pada link berikut:
https://bkkp.dephub.go.id/index.php/pages/dokter

Mohon dipastikan juga surat yang diunggah masih berlaku (tidak expired) dan mencantumkan keterangan yang menyatakan bahwa tidak buta warna ya kak. Terima kasih 🙏
"
", saya mau tanya untuk pendaftaran bst keluaran bp2tl aturan baru apakah sudah bisa di bp2tl?",   untuk BST Pembaruan  sudah ada di bp2tl yaa
" bu, saya ada BST keluaran Barombong apa bisa di upgrade ke BST aturan terbaru di BP2TL",  untuk BST Pembaruan  sudah ada di bp2tl ya
" min ,, 
 Izinn nanya untuk diklat 18- 22 di bulan agus online nya kapan yaa min 🙏 // Saya udh diklat bln agus kemaren min","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" admin.....Admin bp2tl bagian Validator tolong gerak cepat kami sebagai  peserta diklat ingin cepet selesai agar kami bisa melanjutkan pembayaran...Dari tgl 29 agst sampai sekarang belum ada validasi juga...Sudah terlalu lama kami menunggu validasi🙏🏻🙏🏻 //   kak. Boleh di isi biodata sebagai berikut ya kak

Nama : Andi Agung
Nomor Peserta : 1360050758","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
" pak , izin bertanya kalo mau update bst apakah bisa?",bisa ya kak
"Assalamualaikum
Izin tanya pk/buk, di BP2TL ada pelayanan membuat MCU LOGO GARUDA gk?","Waalaikumsalam, bisa kak namun mekanisme dari kami minimal 30 peserta"
" kak saya M AFAN KURNIAWAN  peserta Diklat pemutakhiran ATTIII dengan no peserta  6970357460/2520200376 , saya Diklat periode 10/03/2025, Untuk sertifikat yg sudah jadi bisa dikirim kan lewat pos apa tidak ya kak  ,mohon bantuannya kak","Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
"siang kak,untuk pembaharuan bst terbitan bp2tl + reval diklatnya bisa via online ?🙏 // pembelajarannya online atau offline terbitan bp2tl? jika tidak ada pkl..","Revalidasi BST dari tempat diklat lain bisa dilakukan di BP2TL.

Berikut informasinya:
⚓️ BST MSC.560 (108)
⚓️ UPDATING (BST masih aktif)

Alumni BP2TL: Rp125.000
Non BP2TL: Rp140.000

⚓️ REVALIDASI (BST kurang dari 5 tahun)

Alumni BP2TL: Rp250.000
Non BP2TL: Rp300.000

Untuk BST terbitan BP2TL maupun Non BP2TL, terdapat 2 teknis pelaksanaan diklat:

Online (melampirkan PKL masih aktif dan surat rekomendasi dari perusahaan/instansi)
Offline (bagi pelaut yang sedang off, pembelajaran tetap dilaksanakan online sesuai jadwal terlampir)

Waktu tatap muka:

Updating: 1 hari (4 jam pembelajaran)
Revalidasi: 1 hari (6 jam pembelajaran)

Pendaftaran dapat dilakukan melalui laman:
diklat.bp2tl.ac.id (menu REVALIDASI)

Terima kasih, semoga informasinya membantu ⚓️"
Untuk sertifikat medical care (mc) apakah full online?, untuk MC online ya kak
Pagi. Ini kenapa nomor token tdak masuk di email yah. Apa ada masalah?,Berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor whatsapp berikut ini ya 0811-1707-1205
" bpk/ibu
Mau tanya kok ini tokennya tidak bisa dikirim ke email yg tercantum yaa?
Mohon bantuannya trims 🙏 // [Baik trimakasih atas infonya
 Semoga lekas cepat pulih",Berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor whatsapp berikut ini ya 0811-1707-1205
" pak/ibu saya pendaftar BP2TL jakarta diklat peningkatan att3 sudah upload semua persyaratan cuman saya terkendala di masa layar, soalnya saya masih join, saya chat admin yg satunya diarahkan untuk upload buku pelaut tapi ngulang lagi 
Mohon di arahkan 🙏🏼//Sudah saya upload min yg saya lampirkan tanggal terbit buku pelaut sama tanggal exp buku pelaut saya, terus untuk dokumennya saya upload buku pelaut di bagian sijil, tapi ngulang lagi 🙏🏼","  kak, silahkan untuk upload buku pelautnya ya, sesuai dengan arahan dari admin pendaftaran//Berkaitan dengan hal tersebut silahkan konsultasikan langsung dengan admin pendaftaran kami di nomor whatsapp berikut ini ya 0811-1707-1205"
"Assalamualaikum dan  Bapak/ibu 
Mau izin tanya masalah pengurusan ANT 3 management Kira” bisa dibantu nggak Bapak/ibu 
Mohon informasinya","Waalaikumsalam...
Berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor whatsapp berikut ini ya 0811-1707-1205"
" min, izin bertanya untuk bst yang baru di reval 2027 Agustus karna sudah beredar informasi untuk pergantian kertas BST itu masuknya pembaruan kertas BST atau buat baru yaa min??🙏🏻// berarti jatohnya pembuatan kertas baru aja ya min, soalnya bst saya terbitan Bp2tl langsung
Ga harus bayar bikin baru kan min?🙏🏻","Jika umur ijazahnya belum 5 tahun itu harus pembaharuan, tetapi jika umur ijazahnya lebih dari 5 tahun itu bisa revalidasi ya kak//Berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor whatsapp berikut ini ya kak 0811-1707-1205"
" pak, perkenalkan saya Sheren panitia penyelenggara agenda Campus Update 2026.
Melalui rangkaian agenda kolaborasi LLDIKTI dan Dinas Pendidikan yang akan dihadiri puluhan ribu calon mahasiswa di wilayah JABODETABEK yang saat ini tengah gencar memilih kampus terbaiknya, kami mengundang Balai Pendidikan dan Pelatihan Transportasi Laut (BP2TL) Jakarta untuk memanfaatkan momentum strategis ini yang akan dilaksanakan di Balai Kartini Jakarta, 27–29 Januari 2026 serta di Bandung Convention Centre, 11–13 Februari 2026 .
Konfirmasi keikutsertaan Balai Pendidikan dan Pelatihan Transportasi Laut (BP2TL) Jakarta dapat diinformasikan melalui 085211332949, terima kasih!// Siap pak, terima kasih. Semoga ada kabar baik dari Balai Pendidikan dan Pelatihan Transportasi Laut (BP2TL) Jakarta untuk kepesertaannya di agenda PPTJ & JBCU 2026 yaa😊",Berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor whatsapp berikut ini ya kak 0811-1707-1205
" admin bp2tl updating periode 16 Juni apakah sudah keluar fisiknya
Mohon info nya admin //  Bukannya ini help desk
Ini no help desk
Saya tanya no bp2tl. Yang lain  suruh ke help desk lagi
Gimana kok gak ada jawaban yang memuaskan",Berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor whatsapp berikut ini ya kak 0811-1707-1205
" admin
Untuk revalidasi bst keluaran non bp2tl apakah diadakan secara online?","Terkait Updating BST dapat kami informasikan sebagai berikut:

⚓️ BST MSC.560 (108)
UPDATING (BST masih aktif)
* BP2TL: Rp125.000
* Non BP2TL: Rp140.000

REVALIDASI (BST < 5 tahun)
* BP2TL: Rp250.000
* Non BP2TL: Rp300.000

Untuk sertifikat BST terbitan BP2TL maupun non BP2TL di BP2TL, tersedia 2 teknis pelaksanaan:
1. Online : bagi pelaut yang masih on board (wajib melampirkan PKL aktif & surat rekomendasi perusahaan/instansi)
2. Offline :  bagi pelaut yang sedang off/di darat (tatap muka di kampus sesuai jadwal)

Durasi pembelajaran:
* Updating: ±4 jam (1 hari)
* Revalidasi: ±6 jam (1 hari)

Pendaftaran dilakukan melalui laman: https://diklat.bp2tl.ac.id

Terima kasih, semoga membantu ya 
"
" 
Apa boleh saya mnta no peserta untuk pendaftaran di BP2TL karena saya lupa dengan no peserta saya",Berkaitan dengan hal tersebut silahkan hubungi admin pendaftaran kami di nomor berikut ini ya kak 0811-1707-1205
Siang pak/bu mau tanya pendaftaran diklat rating/able di stiap hari kerja atau ada hari tertentu?,"Pendaftaran bisa dilakukan pada setiap hari kerja, namun tetap mengikuti periode pendaftaran yang sudah ditentukan ya, Kak."
. saya ingin bertanya tentang revalidasi PSCRB dengan nomor pendaftaran 2510200150 a/n Helmi Syahrul Ramadhan periode diklat 8 september 2025 apakah ada info? sebab saya tidak masuk grup atau apapun sampai saat ini // baik ka. PSCRB saya keluaran BP2TL juga ya. jadi infonya kemarin sih online,Untuk revalidasi tinggal tunggu sertifikat fisik jadi aja kurang lebih 1 bulan
"Pengambilan fisik sertifikat gmdss (endors) dan yang cop syarat nya apa aja ya admin jika di wakilkan
Ada link nya kak
Mohon infonya 🙏🙏🙏 // Kwintansi wajib ya atau bisa di ganti ama kartu peserta //Iya ibu","Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
Jam brpa sya msuk grop bu hri ini sya ikuti diklat updating ANT 3 manajemen,"Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" min, mohon izin sebelumnya min mau nanya kemaren sy kan sdh daftar data pribadi sy untuk login di website bp2tl kok sampai sekarang nomor peserta sy blm ada ya? mohon bantuannya min terimakasih🙏 // siap sudah jadi min, terimakasih banyak informasinya min"," 

Silakan dicek terlebih dahulu folder spam/junk email ya kak, dan pastikan email yang didaftarkan sudah benar.

Apabila masih belum menerima nomor peserta, mohon diinformasikan kembali NIK dan Nama Lengkap ke admin untuk ditindaklanjuti lebih lanjut melalui nomor WhatsApp admin 📞 0811-1707-1205 ya kak 

Terima kasih 🙏"
" Pak.
Nama saya : Hotbin Mangait Tua Hutabarat.
Mau Updating ANT IV. Managemen.periode tgl 15 September - 20 September 2025.Tapi nomor saya belum di undang masuk ke grub.mksh // Saya kirim ini aja ke mereka","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Assalammualaikum pak kalau di bp2tl  kalau mau ambil untuk pelatihan SAT, SDSD dimulai pelatihannya tgl berapa ya? Dan apakah bisa saya baru mau pelatihan aff tgl 22 lalu juga langsung mengambil SAT dan SDSD ?","Waalaikumsalam,,, Bisa diambil secara bersamaan kak, namun untuk jadwalnya tidak bisa bentrok antar diklat ya kak,,, untuk informasi lebih lanjutnya silahkan hubungi admin pendaftaran kami melalui nomor whatsapp berikut ini 0811-1707-1205"
 min kode kampus bp2tl berapa ya ? mau cek online sertifikat yg baru saya ambil soalnya,", untuk kode kampus BP2TL 53 ya"
" admin.
Apakah Diklat Updating dilaksanakan secara online atau offline?","  kak, untuk updating dilaksanakan secara hybrid ya kak"
" min, informasi diklat rating engine apakah masih bisa online? // dibuka tanggal berapa ya min // untuk bulan November ada min??","untuk jadwal diklat silakan cek secara berkala di website 👉 diklat.bp2tl.ac.id, apabila belum tersedia atau masih kosong berarti jadwal belum dibuka, update juga diinformasikan melalui sosial media resmi BP2TL, dan untuk informasi lebih lanjut dapat menghubungi admin di +62 811-1707-1205 🙏"
" ibu /bapak
Izin bertanya bu
Saya mau urus sertifikat saya yg hilang apa bisa soalnya foto copyan nya juga gaada","Pegajuan sertifikat baru atas sertifikat yang hilang dapat dilakukan secara langsung di loket BP2TL dengan membawa persyaratannya sebagai berikut:

1. KTP
2. Akta Kelahiran
3. Surat Kehilangan dari Kepolisian
4. Kartu Keluarga (KK)
5. Pas Foto terbaru
6. Scan sertifikat yang hilang
7. Surat keterangan bahwa Bapak akan melakukan cetak ulang sertifikat
8. Surat Pernyataan Peserta (diunduh melalui akun masing-masing)
"
"kak, saya boleh minta estimasi kapan keluar sertifikatnya? soalnya saya ditanyain sama agen kapal saya, mereka butuh estimasi tanggal keluarnya. mohon dibantu ya kak ","Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi helpdesk di akun peserta atau admin di 0811-1707-1205 ya kak 🙏😊
"
